country,femaleemployrate,employrate
Afghanistan,25.60000038,55.70000076
Albania,42.09999847,51.40000153
Algeria,31.70000076,50.5
Angola,69.40000153,75.69999695
Argentina,45.90000153,58.40000153
Armenia,34.20000076,40.09999847
Australia,54.59999847,61.5
Austria,49.70000076,57.09999847
Azerbaijan,56.20000076,60.90000153
Bahamas,60.70000076,66.59999847
Bahrain,30.20000076,60.40000153
Bangladesh,53.59999847,68.09999847
Barbados,60.29999924,66.90000153
Belarus,48.59999847,53.40000153
Belgium,41.70000076,48.59999847
Belize,38.79999924,56.79999924
Benin,58.20000076,71.59999847
Bhutan,39.90000153,58.40000153
Bolivia,61.59999847,70.40000153
Bosnia and Herzegovina,34.90000153,41.20000076
Botswana,38.70000076,46
Brazil,53.29999924,64.5
Brunei,55.5,63.79999924
Bulgaria,42.09999847,47.29999924
Burkina Faso,75.80000305,81.30000305
Burundi,83.30000305,83.19999695
Cambodia,73.40000153,78.90000153
Cameroon,49,59.09999847
Canada,58.90000153,63.5
Cape Verde,43.59999847,55.90000153
Central African Rep.,62.90000153,71.30000305
Chad,66.30000305,68.90000153
Chile,35.5,51
China,68.90000153,72.80000305
Colombia,54.90000153,63.20000076
Comoros,59.29999924,68
"Congo, Dem. Rep.",50.40000153,66.19999695
"Congo, Rep.",52.29999924,64.19999695
Costa Rica,40.09999847,58.59999847
Cote d'Ivoire,38.09999847,59.90000153
Croatia,39.40000153,47.09999847
Cuba,43.70000076,56
Cyprus,51.29999924,59.09999847
Czech Rep.,47.59999847,56
Denmark,58.09999847,63.09999847
Dominican Rep.,40.5,52.70000076
Ecuador,45.5,59.70000076
Egypt,18.20000076,42.40000153
El Salvador,44.79999924,58.20000076
Equatorial Guinea,39.59999847,61.70000076
Eritrea,51.70000076,64.90000153
Estonia,52.09999847,56.5
Ethiopia,73,80.69999695
Fiji,36.79999924,56.40000153
Finland,53.40000153,57.20000076
France,45.59999847,51.20000076
Gabon,52.59999847,59
Gambia,65.69999695,71.69999695
Georgia,48.5,55.59999847
Germany,46.79999924,53.5
Ghana,64.09999847,65.09999847
Greece,37.79999924,49.59999847
Guadeloupe,38.29999924,43.09999847
Guatemala,44,62.70000076
Guinea,77.59999847,81.5
Guinea-Bissau,49.90000153,65.90000153
Guyana,41.79999924,58.90000153
Haiti,35.40000153,55.90000153
Honduras,34.20000076,56.29999924
"Hong Kong, China",51.59999847,59
Hungary,40.29999924,47.29999924
Iceland,69.59999847,73.59999847
India,32.29999924,55.40000153
Indonesia,44.09999847,61.5
Iran,26.89999962,47.79999924
Iraq,12.39999962,37.40000153
Ireland,51,59.90000153
Israel,46.40000153,51.29999924
Italy,35.79999924,46.40000153
Jamaica,47.5,58.20000076
Japan,46.20000076,57.29999924
Jordan,13,38.90000153
Kazakhstan,58.20000076,63.70000076
Kenya,66.59999847,73.19999695
"Korea, Dem. Rep.",56,64.59999847
"Korea, Rep.",48,58.90000153
Kuwait,42,65.69999695
Kyrgyzstan,48.79999924,58.90000153
Laos,78.09999847,78.19999695
Latvia,50.70000076,56.79999924
Lebanon,22.29999924,46
Lesotho,49.79999924,56.29999924
Liberia,53.20000076,66
Libya,23.20000076,48.59999847
Lithuania,48.79999924,53.09999847
Luxembourg,45.90000153,53.5
"Macao, China",57.5,63.59999847
"Macedonia, FYR",26.79999924,34.90000153
Madagascar,79.19999695,83
Malawi,69,71.80000305
Malaysia,43.09999847,60.5
Maldives,42.09999847,56.90000153
Mali,34.40000153,45.70000076
Malta,30.10000038,46.79999924
Martinique,38.20000076,42.5
Mauritania,45.29999924,46.90000153
Mauritius,36.29999924,54.5
Mexico,39.59999847,57.90000153
Moldova,43.59999847,44.29999924
Mongolia,50.90000153,52.09999847
Morocco,22.20000076,46.20000076
Mozambique,82.19999695,77
Myanmar,66.5,74.69999695
Namibia,37.29999924,42
Nepal,54.59999847,61.79999924
Netherlands,54.29999924,61.29999924
Netherlands Antilles,47.09999847,53.5
New Zealand,58.29999924,65
Nicaragua,36,58.79999924
Niger,38,60.40000153
Nigeria,36.5,50.90000153
Norway,60.90000153,65
Oman,22.60000038,50.70000076
Pakistan,19,51
Panama,43.40000153,59.79999924
Papua New Guinea,68.90000153,70.40000153
Paraguay,65.30000305,73.09999847
Peru,59.79999924,68.30000305
Philippines,46.79999924,61
Poland,42.09999847,48.70000076
Portugal,50.59999847,57.59999847
Puerto Rico,34.59999847,42.40000153
Qatar,39.59999847,76
Reunion,37.90000153,44.20000076
Romania,43.79999924,49.5
Russia,53.79999924,58.79999924
Rwanda,80.5,79.80000305
Saudi Arabia,17.70000076,51.20000076
Senegal,56.90000153,65.59999847
Serbia and Montenegro,41.09999847,48.70000076
Sierra Leone,63.40000153,63.79999924
Singapore,51.29999924,62.40000153
Slovak Republic,45.29999924,53.40000153
Slovenia,49.40000153,55.90000153
Solomon Islands,51.29999924,65
Somalia,50.70000076,66
South Africa,34.29999924,41.09999847
Spain,41.70000076,52.5
Sri Lanka,39.20000076,55.09999847
Sudan,27.89999962,47.29999924
Suriname,30.39999962,44.70000076
Swaziland,47.09999847,50.90000153
Sweden,56.70000076,60.70000076
Switzerland,57,64.30000305
Syria,16.70000076,44.79999924
Taiwan,47.09999847,54.5
Tajikistan,50.09999847,54.59999847
Tanzania,76.09999847,78.19999695
Thailand,65,72
Timor-Leste,54.70000076,67.30000305
Togo,48.40000153,63.90000153
Trinidad and Tobago,50.5,61.5
Tunisia,21.39999962,41.59999847
Turkey,21.89999962,42.79999924
Turkmenistan,53.90000153,58.5
Uganda,80,83.19999695
Ukraine,49.40000153,54.40000153
United Arab Emirates,37.29999924,75.19999695
United Kingdom,53.09999847,59.29999924
United States,56,62.29999924
Uruguay,46,57.5
Uzbekistan,52.59999847,57.5
Venezuela,45.79999924,59.90000153
Vietnam,67.59999847,71
West Bank and Gaza,11.30000019,32
"Yemen, Rep.",20.29999924,39
Zambia,53.5,61
Zimbabwe,58.09999847,66.80000305
